transaction_amount,transaction_hour,account_age_days,transactions_last_1h,transactions_last_24h,failed_attempts,new_device,location_changed,international_transaction,device_change_count,avg_historical_amount,is_fraud
2310.16,9,459,0,0,2,0,0,0,1,3499.96,0
891.23,23,206,4,13,5,0,1,0,2,1671.3,0
2897.29,16,803,1,3,0,0,0,0,0,306.3,0
10770.27,20,136,0,0,1,0,0,0,1,2192.71,0
771.83,1,15,3,11,0,0,0,0,0,233.26,0
771.85,5,383,3,17,3,0,0,0,2,2145.39,0
11717.27,4,420,2,8,0,0,0,0,0,448.5,0
3467.37,3,294,2,13,0,0,0,0,0,676.33,0
542.28,1,419,3,18,1,0,0,0,0,230.47,0
2474.61,11,270,1,3,5,0,0,0,0,3032.08,0
547.23,2,430,1,6,0,0,0,0,0,312.08,0
545.34,5,16,1,6,0,0,0,0,0,303.45,0
1576.47,23,167,1,2,1,0,0,0,0,406.02,0
62.18,13,86,2,10,1,0,0,1,1,458.02,0
82.49,7,38,3,20,3,0,0,0,0,1243.6,0
471.81,20,97,1,2,3,1,1,0,2,303.54,1
240.03,20,77,0,0,1,1,0,0,1,784.01,0
1757.01,13,1320,0,0,5,1,0,0,0,1773.24,0
280.89,2,123,2,15,3,0,0,0,1,3048.63,0
131.83,15,95,1,5,0,0,0,0,0,856.55,0
9882.03,14,657,2,7,0,0,0,0,1,329.17,0
781.59,6,198,3,16,3,1,1,0,0,724.23,0
1213.53,14,199,0,0,1,0,0,0,0,69.96,0
129.4,12,213,3,14,1,0,0,0,0,478.13,0
484.65,5,196,0,0,3,0,0,0,1,161.13,0
1295.15,14,144,1,2,0,0,0,0,2,282.88,0
195.1,16,123,1,5,0,1,0,0,1,425.92,0
1926.67,3,779,1,5,0,0,0,0,2,2332.09,0
445.43,21,64,4,12,0,0,0,0,0,735.77,0
708.01,21,72,0,0,0,1,0,0,0,358.45,0
444.72,13,309,2,8,0,1,0,0,0,186.94,0
17648.7,14,153,1,4,0,0,0,0,0,372.21,0
1074.65,11,199,1,3,2,0,0,0,0,816.31,0
224.4,18,599,1,6,0,0,0,0,0,629.15,0
3766.18,21,853,4,16,3,0,0,1,0,1286.25,0
175.69,9,570,3,20,1,0,0,0,2,1150.68,0
1500.11,5,97,1,2,0,0,0,0,0,102.69,0
58.0,8,1427,1,3,1,0,0,0,0,839.69,0
149.56,1,164,3,13,1,0,0,0,0,4688.17,0
1473.35,3,67,1,4,0,0,0,0,1,5247.82,0
3319.93,8,252,3,13,2,0,0,0,1,1015.46,0
1418.07,14,471,1,5,5,0,0,0,1,265.45,0
921.98,12,31,1,5,0,0,0,0,0,859.67,0
698.09,19,367,2,10,1,0,0,0,0,2907.44,0
119.37,7,712,0,0,1,1,0,0,0,3477.58,0
372.5,18,110,0,0,0,0,0,0,0,194.65,0
549.52,18,431,3,21,0,0,0,0,0,287.19,0
5354.45,15,186,0,0,5,0,0,0,0,717.03,1
1836.15,10,195,3,9,5,0,0,0,0,1285.02,0
77.9,9,120,3,17,1,0,0,0,1,547.9,0
1783.13,7,357,3,10,5,1,1,0,0,582.53,0
615.46,0,163,5,38,1,0,1,0,0,508.27,0
397.27,9,648,1,4,0,0,1,0,1,780.61,0
2744.94,17,1202,1,3,0,0,0,0,0,968.04,0
5148.7,2,998,4,23,2,0,1,0,0,484.21,0
4433.39,10,65,0,0,1,0,0,0,0,613.15,1
311.43,17,5,3,16,0,0,0,0,0,633.42,0
689.65,2,210,0,0,0,0,0,0,0,596.69,0
1802.44,7,476,1,6,1,0,1,1,0,389.78,0
4737.75,13,1384,3,22,3,0,0,0,0,809.59,1
534.45,5,558,1,7,1,0,0,0,0,274.91,0
830.07,14,317,2,12,2,1,0,0,0,357.35,1
208.62,13,9,2,14,5,0,0,0,1,123.72,0
182.31,6,637,2,15,3,1,0,0,0,385.52,0
3710.01,9,71,1,2,0,0,0,0,1,740.31,0
8386.34,14,20,1,4,0,0,0,0,0,1191.68,0
984.35,9,693,2,7,1,0,0,0,1,830.11,0
4940.88,21,304,1,4,2,0,0,0,0,3672.29,0
1886.45,16,50,2,15,1,0,0,0,0,1677.33,0
416.68,18,178,1,7,1,0,1,0,0,1436.33,0
1885.77,16,32,1,7,0,1,0,0,0,332.76,0
11015.46,11,370,1,3,2,0,0,0,1,526.69,0
1039.26,14,121,1,6,5,1,0,0,1,178.39,1
11463.98,11,733,2,13,0,0,1,0,1,1862.82,0
21.55,8,161,0,0,1,0,0,0,1,1760.33,0
3762.56,4,249,1,6,0,0,0,0,0,823.58,0
1249.59,3,23,2,14,1,0,1,0,0,876.75,0
700.29,11,117,1,7,1,0,0,0,1,2226.81,0
1258.46,15,412,2,4,1,0,0,0,0,584.56,0
55.63,8,486,2,7,0,0,0,0,1,253.96,0
788.78,2,101,0,0,0,1,0,0,1,1089.56,0
1873.7,20,255,2,7,0,0,1,0,0,3510.29,0
10065.22,2,620,0,0,1,0,0,0,0,196.45,0
504.01,17,174,1,3,0,0,0,0,0,224.39,0
326.12,16,52,2,10,1,0,0,0,1,1940.55,0
516.65,9,206,2,8,0,0,0,0,2,2838.24,0
4329.05,1,335,3,20,0,0,0,0,1,1159.8,0
1795.66,23,2,0,0,1,0,1,0,0,745.07,0
495.4,10,156,0,0,3,0,0,1,1,485.79,0
2368.24,23,341,2,15,0,0,0,0,1,1296.05,0
1268.53,2,1107,1,7,1,0,0,0,0,831.46,0
4688.97,22,191,2,14,2,0,0,0,0,582.58,0
382.57,22,64,0,0,0,0,0,0,1,497.56,0
670.82,1,278,1,6,0,0,0,0,1,538.68,0
609.01,8,122,1,4,0,0,1,0,0,1524.68,0
122.09,18,88,1,3,5,0,0,0,1,530.5,0
1709.88,1,325,3,22,0,0,0,0,0,1274.09,0
1622.27,18,903,2,11,5,0,0,0,1,3057.21,0
1105.08,1,658,0,0,2,0,1,0,0,803.66,0
771.33,14,73,1,7,0,0,0,0,0,4410.03,0
131.23,23,529,0,0,0,0,0,0,0,643.5,0
583.49,20,95,0,0,0,0,1,0,0,89.19,0
655.85,2,125,1,2,5,1,0,0,0,2517.19,0
329.17,4,922,3,18,0,0,0,0,1,366.17,0
860.98,10,883,2,10,3,0,0,0,2,551.75,0
2010.37,23,67,2,7,0,0,0,1,1,192.07,0
18569.56,6,24,0,0,1,0,1,0,1,364.64,0
1424.91,5,126,1,3,0,0,0,0,1,413.87,0
1613.77,13,318,1,3,0,1,0,0,0,386.16,0
980.76,0,764,2,14,5,1,0,0,0,1044.5,0
61.67,16,46,2,9,3,0,0,0,3,688.43,0
1053.88,16,195,2,12,0,0,0,0,0,5237.76,0
1200.32,13,115,4,19,1,0,0,0,1,382.99,0
44128.59,9,5,2,9,0,0,0,1,1,558.42,0
821.77,7,566,2,13,1,1,0,0,1,3224.53,0
